name_id,name,scope_id,scope,relation
1,湖北恒通荣昌建设工程有限公司,1,室内外装饰工程设计与施工；消防工程设计、施工；楼宇智能化监控系统、电气自动化控制系统的设计、施工；给排水工程设计、施工；市政工程设计与施工；暖通设备、通风设备、空调设备维修；机电设备销售；幕墙工程、园林绿化工程、钢结构工程施工；电梯设备的安装与维修；通风设备的生产、加工（生产加工仅限分支机构）。公司地址,scopeof
11,道达尔（TOTAL）,2,武汉市硚口区航空路新世界中心。邮政编码,scopeof
16,湖北省森屿企业管理咨询有限责任公司,3,地质大学珠宝大楼1101。邮政编码,scopeof
21,武汉市蒙尔斯服饰有限责任公司,4,武汉市东西湖区九通路龙鑫工业园11栋2楼。邮政编码,scopeof
34,武汉际上导航科技有限公司,5,武汉市东湖新技术开发区茅店山西路8号创星汇科技园D栋四楼。邮政编码,scopeof
